ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,23.1.1,23.1.2,23.2.1,23.2.2,23.2.3,23.2.4,
2018-03-31,Default fund,LME,ETD Forward,USD,1479847,134501210060.04,132537631870.36,Commodity,Forward,"AAD, AHD, CAD, COD, MOD, NAD, NID, PBD, SND, ZSD",
2018-03-31,Default fund,LME,ETD Option,USD,48265,73682635.37,405573461.06,Commodity,Option,"AHD, CAD, NAD, NID, PBD, SND, ZSD",
2018-03-31,Default fund,LME,ETD Option,EUR,0,0.00,0.00,Commodity,Option,"AHD, CAD, NAD, NID, PBD, SND, ZSD",
2018-03-31,Default fund,LME,ETD Option,GBP,2,6777.17,0.00,Commodity,Option,"AHD, CAD, NAD, NID, PBD, SND, ZSD",
2018-03-31,Default fund,LME,ETD Forward,EUR,3571,315496226.28,1803291380.29,Commodity,Forward,"AAE, AHE, CAE, NAE, NIE, PBE, SNE, ZSE",
2018-03-31,Default fund,LME,ETD Forward,JPY,1478,119827184.73,956699835.92,Commodity,Forward,"AHY, CAY, NIY, PBY, SNY, ZSY",
2018-03-31,Default fund,LME,ETD TAPO,USD,1153,5709766.48,62688003.16,Commodity,TAPO,"AHD, CAD, NID, PBD, ZSD",
2018-03-31,Default fund,LME,ETD Swap,USD,118,14789140.71,48461929.50,Commodity,Swap,"OAD, OCD, OND, OPD, OSD, OZD",
2018-03-31,Default fund,LME,ETD Forward,GBP,84,9063673.02,85642466.66,Commodity,Forward,"AHS, CAS, NAS, NIS, PBS, SNS, ZSS",
2018-03-31,Default fund,LME,ETD Future,USD,4620,18515679.76,33718110.00,Commodity,Future,"SCD, SRD",
2018-03-31,Default fund,LPM,ETD Future,USD,8766,1092158143.75,4152562785.00,Commodity,Future,"AUD,AGD",
