ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6_2_1,6_2_2,6_2_3,6_2_4,6_2_5,6_2_6,6_2_7,6_2_8,6_2_9,6_2_10,6_2_11,6_2_12,6_2_13,6_2_14,6_2_15
2017-12-29,Default Fund,ICEU_F&O,HouseIM_PreHaircut,USD,,173362556.80,1723151992.59,774357.28,403570475.25,4032983706.53,21651163.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6355494252.18
2017-12-29,Default Fund,ICEU_F&O,HouseIM_PostHaircut,USD,,165561241.75,1677725951.06,764161.28,385038585.75,3899610914.48,21072950.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6149773805.30
2017-12-29,Default Fund,ICEU_F&O,ClientIM_PreHaircut,USD,,1870175441.08,12645750370.76,26963672.52,1376999815.47,15895001309.59,137100508.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31951991117.42
2017-12-29,Default Fund,ICEU_F&O,ClientIM_PostHaircut,USD,,1786017546.23,12247544919.39,25566418.05,1298969742.43,15377244886.64,133345986.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30868689499.39
2017-12-29,Default Fund,ICEU_F&O,TotalIM_PreHaircut,USD,,2043537997.89,14368902363.35,27738029.81,1780570290.72,19927985016.12,158751671.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38307485369.62
2017-12-29,Default Fund,ICEU_F&O,TotalIM_PostHaircut,USD,,1951578787.98,13925270870.45,26330579.33,1684008328.19,19276855801.12,154418937.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37018463304.70
2017-12-29,Default Fund,ICEU_CDS,HouseIM_PreHaircut,EUR,,1233354667.58,875808758.49,410424.29,283264496.39,2405498768.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4798337115.69
2017-12-29,Default Fund,ICEU_CDS,HouseIM_PostHaircut,EUR,,1233354667.58,834929446.77,388437.52,270165769.43,2323311802.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4662150124.29
2017-12-29,Default Fund,ICEU_CDS,ClientIM_PreHaircut,EUR,,396562397.90,266615676.09,974079.38,147258206.13,281012630.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1092422990.28
2017-12-29,Default Fund,ICEU_CDS,ClientIM_PostHaircut,EUR,,396562397.90,261547846.73,968772.78,139021687.41,268810393.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1066911098.48
2017-12-29,Default Fund,ICEU_CDS,TotalIM_PreHaircut,EUR,,1629917065.48,1142424434.58,1384503.68,430522702.52,2686511399.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5890760105.97
2017-12-29,Default Fund,ICEU_CDS,TotalIM_PostHaircut,EUR,,1629917065.48,1096477293.50,1357210.31,409187456.84,2592122196.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5729061222.78
